product,variant,prompt,filename
business-cards,standard,"Professional product photography of business cards, 16pt matte cardstock, stack of 10 cards slightly fanned out, showing thickness from side angle, simple corporate design visible, on clean white background, studio lighting, 45-degree angle, high resolution, commercial photography style",business-cards_standard.jpg
business-cards,premium,"Professional product photography of premium business cards, 32pt thick cardstock with glossy UV coating, stack showing ultra-thick edges, light reflecting off glossy surface, elegant real estate design visible, on clean white background, studio lighting, shallow depth of field, commercial photography",business-cards_premium.jpg
business-cards,luxury,"Professional product photography of luxury business cards, 38pt triple-layer cards with gold foil stamping, visible embossed elements catching light, colored edges (gold or black), held in hand showing premium thickness, white background, professional lighting, high-end commercial style",business-cards_luxury.jpg
business-cards,economy,"Professional product photography of economy business cards, 14pt standard cardstock, simple matte finish, basic design, slightly bendable card shown, budget-friendly appearance, on white background, even lighting, commercial photography",business-cards_economy.jpg
banners,vinyl,"Professional photography of vinyl banner hanging outdoors, 13oz glossy vinyl material, Grand Opening text visible, grommets and reinforced edges shown, banner gently waving in breeze, storefront background softly blurred, bright daylight, commercial photography",banners_vinyl.jpg
banners,mesh,"Professional photography of mesh banner on construction fence, perforated material allowing wind through, construction site backdrop, Coming Soon messaging, heavy-duty grommets visible, outdoor setting, natural lighting, commercial real estate photography",banners_mesh.jpg
banners,fabric,"Professional photography of fabric banner at indoor trade show, smooth polyester material, vibrant colors, hanging from ceiling mount, trade show booth environment, professional lighting, slight fabric texture visible, commercial event photography",banners_fabric.jpg
banners,retractable,"Professional photography of retractable banner stand fully extended, aluminum base visible, banner material taut, Open House real estate design, office lobby setting, showing portability and professional appearance, studio lighting",banners_retractable.jpg
yard-signs,standard,"Professional photography of standard yard sign, 18x24 corrugated plastic, H-stake frame installed in grass, For Sale real estate sign, residential lawn setting, natural daylight, showing durability and visibility",yard-signs_standard.jpg
yard-signs,premium,"Professional photography of premium yard sign, thick aluminum composite, heavy-duty steel frame, professional real estate branding, manicured lawn setting, golden hour lighting, showing superior quality and stability",yard-signs_premium.jpg
yard-signs,double-sided,"Professional photography of double-sided yard sign, showing both sides with different messages, sturdy installation, real estate agent contact info visible, suburban setting, clear visibility from multiple angles",yard-signs_double-sided.jpg
retractable-banners,economy,"Professional photography of economy retractable banner, basic aluminum stand, banner fully extended, simple design, trade show floor setting, showing portability and function, even lighting",retractable-banners_economy.jpg
retractable-banners,standard,"Professional photography of standard retractable banner, sturdy base with stabilizing feet, professional graphics, real estate agency branding, office lobby setting, showing stability and quality",retractable-banners_standard.jpg
